legacy_id,canonical_entity_id,canonical_key,entity_type,source_pass,mapping_role
HYDROMET-02WB003,1ad5acab-f39d-5970-bfd9-55131e3e9fd4,natural:river:qc:natashquan,natural_feature,pass9,associated_river_reference
HYDROMET-02WB003,c8781e4e-6bdb-5606-9617-5cb71e05e6bc,asset:wsc-station:02wb003,asset,pass9,hydrometric_station
HYDROMET-02XA006,a60e91f7-1640-50dd-9f4e-337c9e25ebea,natural:river:qc:petit-mecatina,natural_feature,pass9,associated_river_reference
HYDROMET-02XA006,bbd890d3-73ce-560e-87a0-865f90b75995,asset:wsc-station:02xa006,asset,pass9,hydrometric_station
HYDROMET-02XB001,3d678c66-4b9a-57b3-8c15-53bd89fd3439,natural:river:qc:saint-augustin,natural_feature,pass9,associated_river_reference
HYDROMET-02XB001,2c7f1403-3378-5bf0-b49e-9dd0d67094ac,asset:wsc-station:02xb001,asset,pass9,hydrometric_station
HYDROMET-02XC001,46cef33c-e524-5787-8dc3-a0b124e36865,natural:river:qc:saint-paul,natural_feature,pass9,associated_river_reference
HYDROMET-02XC001,ea9a772c-3c6e-50fa-bda6-5e3d771df0f4,asset:wsc-station:02xc001,asset,pass9,hydrometric_station
HYDROMET-02WC001,324fd842-e1c0-5cd5-bcbe-1ad6e61244b1,natural:river:qc:etamamiou,natural_feature,pass9,associated_river_reference
HYDROMET-02WC001,4d9fe3ea-f3a3-5ab0-b8f4-844c6878ebea,asset:wsc-station:02wc001,asset,pass9,hydrometric_station
HYDROMET-02WC002,8c39de66-6b4c-51d2-b628-1b6b12172bf4,natural:river:qc:olomane,natural_feature,pass9,associated_river_reference
HYDROMET-02WC002,c2515397-3ab5-5530-ba5e-94282a4a9c63,asset:wsc-station:02wc002,asset,pass9,hydrometric_station
HYDROMET-02WA002,44da1d1d-0c41-56dc-8dcc-3c33155e42cb,natural:river:qc:aguanus,natural_feature,pass9,associated_river_reference
HYDROMET-02WA002,601ca63c-eb29-5aba-b516-6e847f396ea1,asset:wsc-station:02wa002,asset,pass9,hydrometric_station
HYDROMET-02WA001,454ba21c-f16c-51a4-b0d7-35ca6d0eb5ff,natural:river:qc:nabisipi,natural_feature,pass9,associated_river_reference
HYDROMET-02WA001,19ea269a-e647-59ca-ae11-32fea4844c42,asset:wsc-station:02wa001,asset,pass9,hydrometric_station
HYDROMET-02VB003,cedabc62-52aa-544d-8845-690af765f5d8,natural:river:qc:magpie,natural_feature,pass9,associated_river_reference
HYDROMET-02VB003,d9668c74-dab6-5f03-9c6e-2b1d2c597ec4,asset:wsc-station:02vb003,asset,pass9,hydrometric_station
HYDROMET-02VC002,759d3e76-ed93-5a82-8a53-b52e1f737ef3,natural:river:qc:romaine,natural_feature,pass9,associated_river_reference
HYDROMET-02VC002,91822d01-067e-599d-8e69-c48761492af9,asset:wsc-station:02vc002,asset,pass9,hydrometric_station
HYDROMET-03FA002,b09345fd-ae35-55bd-9188-bff76087eeb0,natural:river:qc:nastapoka,natural_feature,pass9,associated_river_reference
HYDROMET-03FA002,fab18acc-fc67-5f21-935c-4e366cc32ed1,asset:wsc-station:03fa002,asset,pass9,hydrometric_station
HYDROMET-03GB001,15613e33-b32e-5705-adaa-25cc0720bc9d,natural:river:qc:innuksuac,natural_feature,pass9,associated_river_reference
HYDROMET-03GB001,586ff527-9914-5636-8929-f518b746ddd1,asset:wsc-station:03gb001,asset,pass9,hydrometric_station
HYDROMET-03GC001,d9cb4c85-3ee4-55b7-955e-0965323ebfbb,natural:river:qc:kogaluc,natural_feature,pass9,associated_river_reference
HYDROMET-03GC001,8733780f-6129-58a6-bb63-b540b05e2e89,asset:wsc-station:03gc001,asset,pass9,hydrometric_station
HYDROMET-03HA003,8bc80e2a-61c8-5155-ade4-07c94275ae05,natural:river:qc:arnaud,natural_feature,pass9,associated_river_reference
HYDROMET-03HA003,d76b30a7-1649-5a24-a182-29d9344c2fce,asset:wsc-station:03ha003,asset,pass9,hydrometric_station
HYDROMET-03JB001,dd7de1f3-ed11-5a59-b91c-abbefbea0cf3,natural:river:qc:leaf,natural_feature,pass9,associated_river_reference
HYDROMET-03JB001,98feb142-f058-5b80-b337-1ce309282ab9,asset:wsc-station:03jb001,asset,pass9,hydrometric_station
HYDROMET-03KC004,7ef13c93-0a6f-540f-afc1-0cea57498a07,natural:river:qc:aux-melezes,natural_feature,pass9,associated_river_reference
HYDROMET-03KC004,36891671-423d-5593-b3de-2272a8e71702,asset:wsc-station:03kc004,asset,pass9,hydrometric_station
HYDROMET-03MB002,965013b9-9884-54ac-981f-fd0caa2cff1a,natural:river:qc:great-whale,natural_feature,pass9,associated_river_reference
HYDROMET-03MB002,d9573e89-b21c-5743-b1ef-10d8313fe14d,asset:wsc-station:03mb002,asset,pass9,hydrometric_station
HYDROMET-03ME002,d6352b82-b00e-5b90-8fc3-b93112c101d5,natural:river:qc-nl:george,natural_feature,pass9,associated_river_reference
HYDROMET-03ME002,29c7dbbb-0b1c-594d-b893-95966cd17c65,asset:wsc-station:03me002,asset,pass9,hydrometric_station
HYDROMET-03NF001,c6b3034e-210e-5566-b5a2-4955e6adf302,natural:river:nl:ugjoktok,natural_feature,pass9,associated_river_reference
HYDROMET-03NF001,ee02edd8-d0d2-5a47-9081-cda9f2235676,asset:wsc-station:03nf001,asset,pass9,hydrometric_station
HYDROMET-03NG001,f7b20362-acc7-5606-844f-dc971d13977e,natural:river:nl:kanairiktok,natural_feature,pass9,associated_river_reference
HYDROMET-03NG001,add4bf24-ed61-5cdf-b827-038ab1833746,asset:wsc-station:03ng001,asset,pass9,hydrometric_station
HYDROMET-03PB002,95b3136f-9a3c-5b76-ad7b-f046e4164e9a,natural:river:nl:naskaupi,natural_feature,pass9,associated_river_reference
HYDROMET-03PB002,d3d5217a-88f0-5915-a821-721e67d8d846,asset:wsc-station:03pb002,asset,pass9,hydrometric_station
HYDROMET-03OE002,e46c125d-14b6-5fb4-aeb9-deeecafcca0b,natural:river:nl:minipi,natural_feature,pass9,associated_river_reference
HYDROMET-03OE002,641e26a5-e91c-5901-8f61-0fc6c0951663,asset:wsc-station:03oe002,asset,pass9,hydrometric_station
HYDROMET-03QC001,c8e8cf1c-0c8a-502b-939f-7bceb953ecfa,natural:river:nl:eagle,natural_feature,pass9,associated_river_reference
HYDROMET-03QC001,b08eca46-0f99-575c-b842-d4e83fe8cd30,asset:wsc-station:03qc001,asset,pass9,hydrometric_station
HYDROMET-03QC002,ac33ba3a-cf18-5cb4-9f1a-46272d8f6f1e,natural:river:nl:alexis,natural_feature,pass9,associated_river_reference
HYDROMET-03QC002,ec789c7c-9661-5c7b-96de-7a44ad6535a3,asset:wsc-station:03qc002,asset,pass9,hydrometric_station
