case_key,hv_export_line_km,export_road_km,fibre_km,conventional_export_reference_low_cad,conventional_export_reference_high_cad,fibre_funding_proxy_low_cad,fibre_funding_proxy_high_cad,remaining_unpriced_kristal_budget_conservative_cad,remaining_unpriced_kristal_budget_optimistic_cad
hv25_road10_fibre100,25,10,100,99989863.47,154653162.42,8512231.19,20918249.38,79071614.08,146140931.23
hv25_road10_fibre250,25,10,250,99989863.47,154653162.42,21280577.97,52295623.46,47694240.0,133372584.44
hv25_road10_fibre500,25,10,500,99989863.47,154653162.42,42561155.95,104591246.92,-4601383.46,112092006.47
hv25_road10_fibre933,25,10,933,99989863.47,154653162.42,79419117.0,195167266.76,-95177403.29,75234045.42
hv25_road25_fibre100,25,25,100,138926822.68,204714967.12,8512231.19,20918249.38,118008573.29,196202735.93
hv25_road25_fibre250,25,25,250,138926822.68,204714967.12,21280577.97,52295623.46,86631199.21,183434389.14
hv25_road25_fibre500,25,25,500,138926822.68,204714967.12,42561155.95,104591246.92,34335575.75,162153811.17
hv25_road25_fibre933,25,25,933,138926822.68,204714967.12,79419117.0,195167266.76,-56240444.08,125295850.12
hv25_road50_fibre100,25,50,100,203821754.69,288151308.28,8512231.19,20918249.38,182903505.31,279639077.09
hv25_road50_fibre250,25,50,250,203821754.69,288151308.28,21280577.97,52295623.46,151526131.23,266870730.3
hv25_road50_fibre500,25,50,500,203821754.69,288151308.28,42561155.95,104591246.92,99230507.77,245590152.33
hv25_road50_fibre933,25,50,933,203821754.69,288151308.28,79419117.0,195167266.76,8654487.93,208732191.28
hv25_road100_fibre100,25,100,100,333611618.72,455023990.6,8512231.19,20918249.38,312693369.34,446511759.41
hv25_road100_fibre250,25,100,250,333611618.72,455023990.6,21280577.97,52295623.46,281315995.26,433743412.63
hv25_road100_fibre500,25,100,500,333611618.72,455023990.6,42561155.95,104591246.92,229020371.8,412462834.65
hv25_road100_fibre933,25,100,933,333611618.72,455023990.6,79419117.0,195167266.76,138444351.96,375604873.6
