legacy_id,canonical_entity_id,canonical_key,entity_type,mapping_role,source_context
HYDROMET-02WB003,1ad5acab-f39d-5970-bfd9-55131e3e9fd4,natural:river:qc:natashquan,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02WB003,c8781e4e-6bdb-5606-9617-5cb71e05e6bc,asset:wsc-station:02wb003,asset,hydrometric_station,hydrology_atlas
HYDROMET-02XA006,a60e91f7-1640-50dd-9f4e-337c9e25ebea,natural:river:qc:petit-mecatina,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02XA006,bbd890d3-73ce-560e-87a0-865f90b75995,asset:wsc-station:02xa006,asset,hydrometric_station,hydrology_atlas
HYDROMET-02XB001,3d678c66-4b9a-57b3-8c15-53bd89fd3439,natural:river:qc:saint-augustin,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02XB001,2c7f1403-3378-5bf0-b49e-9dd0d67094ac,asset:wsc-station:02xb001,asset,hydrometric_station,hydrology_atlas
HYDROMET-02XC001,46cef33c-e524-5787-8dc3-a0b124e36865,natural:river:qc:saint-paul,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02XC001,ea9a772c-3c6e-50fa-bda6-5e3d771df0f4,asset:wsc-station:02xc001,asset,hydrometric_station,hydrology_atlas
HYDROMET-02WC001,324fd842-e1c0-5cd5-bcbe-1ad6e61244b1,natural:river:qc:etamamiou,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02WC001,4d9fe3ea-f3a3-5ab0-b8f4-844c6878ebea,asset:wsc-station:02wc001,asset,hydrometric_station,hydrology_atlas
HYDROMET-02WC002,8c39de66-6b4c-51d2-b628-1b6b12172bf4,natural:river:qc:olomane,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02WC002,c2515397-3ab5-5530-ba5e-94282a4a9c63,asset:wsc-station:02wc002,asset,hydrometric_station,hydrology_atlas
HYDROMET-02WA002,44da1d1d-0c41-56dc-8dcc-3c33155e42cb,natural:river:qc:aguanus,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02WA002,601ca63c-eb29-5aba-b516-6e847f396ea1,asset:wsc-station:02wa002,asset,hydrometric_station,hydrology_atlas
HYDROMET-02WA001,454ba21c-f16c-51a4-b0d7-35ca6d0eb5ff,natural:river:qc:nabisipi,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02WA001,19ea269a-e647-59ca-ae11-32fea4844c42,asset:wsc-station:02wa001,asset,hydrometric_station,hydrology_atlas
HYDROMET-02VB003,cedabc62-52aa-544d-8845-690af765f5d8,natural:river:qc:magpie,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02VB003,d9668c74-dab6-5f03-9c6e-2b1d2c597ec4,asset:wsc-station:02vb003,asset,hydrometric_station,hydrology_atlas
HYDROMET-02VC002,759d3e76-ed93-5a82-8a53-b52e1f737ef3,natural:river:qc:romaine,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-02VC002,91822d01-067e-599d-8e69-c48761492af9,asset:wsc-station:02vc002,asset,hydrometric_station,hydrology_atlas
HYDROMET-03FA002,b09345fd-ae35-55bd-9188-bff76087eeb0,natural:river:qc:nastapoka,natural_feature,associated_river_reference,hydrology_atlas
HYDROMET-03FA002,fab18acc-fc67-5f21-935c-4e366cc32ed1,asset:wsc-station:03fa002,asset,hydrometric_station,hydrology_atlas
HYDROMET-03GB001,15613e33-b32e-5705-adaa-25cc0720bc9d,natural:river:qc:innuksuac,natural_feature,associated_river_reference,hydrology_atlas
