entry_id,feature_id,name,river,capacity_or_potential,current_status,geometry_confidence,geometry_class,latitude,longitude,nearest_active_community,distance_to_active_community_km,distance_to_mouth_or_coast_proxy_km,scope_class,reason_codes
CHU-01,CHU-01-SITE,Churchill Falls,Churchill River,"5,428 MW installed",Operating / harnessed,Exact/named site,named_or_strong_proxy,53.536111,-63.964167,Postville,311.63,251.93,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
CHU-02,CHU-02-SITE,Muskrat Falls,Churchill River,824 MW installed,Operating / harnessed,Exact/named site,named_or_strong_proxy,53.244167,-60.773333,Rigolet,186.07,42.07,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
CHU-03,CHU-03-SITE,Gull Island,Churchill River,"2,250 MW planned; 2,264 MW older estimate",Planned / under agreement,Exact/named site / strong proxy,named_or_strong_proxy,52.9725,-61.4375,Rigolet,239.71,94.81,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
CHU-04,CHU-04-SITE,Churchill Falls new powerhouse,Churchill River,"+1,100 MW planned",Planned / under agreement,Exact/named site / expansion area proxy,named_or_strong_proxy,53.536111,-63.964167,Postville,311.63,251.93,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
CHU-05,CHU-05-SITE,Churchill Falls unit upgrades,Churchill River,+550 MW planned,Planned / under agreement,Exact/named site / upgrade area proxy,named_or_strong_proxy,53.536111,-63.964167,Postville,311.63,251.93,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
CHU-06,CHU-06-SITE,Historical lower-river potential,Churchill River / Lower Churchill,"2,400 MW historical potential",Partially harnessed,Representative site proxy,reference_geometry,52.9725,-61.4375,Rigolet,239.71,94.81,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
UNK-01,UNK-01-SITE,Twin Falls,Unknown River,225 MW installed historically,Former / retired,Exact/named site,named_or_strong_proxy,53.5,-64.535278,Postville,346.36,24.08,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
ASH-01,ASH-01-SITE,Menihek,Ashuanipi River / Menihek Lake system,18 MW installed,Operating / harnessed,Exact/named site,named_or_strong_proxy,54.455,-66.625,Nain,387.67,96.01,excluded,existing_committed_or_non_target_status;known_large_grid_hydro_context
NAS-01,NAS-01-SITE,Historical / preliminary potential,Naskaupi River,"1,933 MW historical; 290 MW preliminary",Partly altered / not separately harnessed,Gauge/site proxy,gauge_proxy,54.131667,-61.426667,Postville,136.83,54.83,excluded,existing_committed_or_non_target_status
EAG-01,EAG-01-SITE,Historical / preliminary potential,Eagle River,983 MW historical; 661 MW preliminary,Unexploited / identified,Gauge/site proxy at named falls,gauge_proxy,53.534167,-57.493611,Rigolet,94.42,4.91,excluded,too_far_from_active_community
