community,population_2021,population_year,population_geography,population_source,population_source_url,population_note,airport_access_known,airport_code,airport_name,runway_length_m,runway_surface,airport_presence_source,airport_presence_source_url,runway_dimension_source,runway_dimension_source_url,runway_reference_date,airport_note,marine_access_known,marine_context_source,marine_context_source_url,dock_length_m,max_draft_m,heavy_lift_status,marine_size_status,marine_note
Akulivik,642,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YKO,Akulivik Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Aupaluk,233,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YLA,Aupaluk Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Chisasibi,4985,2021,Terres réservées aux Cris (TC),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,Community count uses the Chisasibi Cree reserved-land census subdivision; the separate Chisasibi Village cri census subdivision reports 0 residents.,true,YKU,Chisasibi Airport,,,Gouvernement du Québec,https://www.quebec.ca/transports/aide-financiere/aerien-maritime-ferroviaire/acces-aerien-regions/voyager-qc-meilleur-prix,,,,Air service/access confirmed; runway dimension is intentionally not published in this snapshot.,false,,,,,unknown,unknown,No facility-specific marine size source promoted in this snapshot.
Hopedale,596,2021,Town (T),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YHO,Hopedale Airport,762,gravel,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/airportservices/,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_07_en.pdf,2020-12-31,Runway dimension is a static CFS reference; verify current aeronautical data before operational use.,true,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/ferryservices/schedules/h-goosebay-nain/,,,not_verified,runtime_basemap_or_unknown,Ferry/port-of-call context confirmed; berth/dock dimensions not verified.
Inukjuak,1821,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YPH,Inukjuak Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Ivujivik,412,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YIK,Ivujivik Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Kangiqsualujjuaq,956,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YLU,Kangiqsualujjuaq Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Kangiqsujuaq,837,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YKG,Kangiqsujuaq Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Kangirsuk,561,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YAS,Kangirsuk Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Kuujjuaq,2668,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,Statistics Canada count carries a caution/amendment flag in the 2021 profile.,true,YVP,Kuujjuaq Airport,1829,,NAV CANADA,https://www.navcanada.ca/en/ecfs_05_en.pdf,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_05_en.pdf,2020-12-31,Longest runway from static 2020 CFS sample (6000 ft); current operational data must be checked separately.,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
