Entry_ID,Point_Role,Point_Mappable,Feature_ID,Map_Name,Latitude,Longitude,Label,Description,River_or_watercourse,Hydro_site_or_reference,Capacity_or_potential,Current_status,Dam_or_site_lat,Dam_or_site_lon,Dam_point_used,Dam_point_confidence,Mouth_or_coast_lat,Mouth_or_coast_lon,Mouth_or_coast_point_used,Mouth_point_type,Mouth_confidence,Mapping_note,Source_URLs_or_notes
CHU-01,Dam_or_site,Yes,CHU-01-SITE,Churchill Falls,53.536111,-63.964167,Churchill River — Churchill Falls — site,"Potential/actual hydro site point. Churchill River at Churchill Falls Powerhouse, WSC 03OD005. Status: Operating / harnessed. Capacity/potential: 5,428 MW installed. Note: Existing station point is strong; river coast/outlet point should be checked if exact estuary marker is required.",Churchill River,Churchill Falls,"5,428 MW installed",Operating / harnessed,53.536111,-63.964167,"Churchill River at Churchill Falls Powerhouse, WSC 03OD005",Exact/named site,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Existing station point is strong; river coast/outlet point should be checked if exact estuary marker is required.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-01,Mouth_or_coast,Yes,CHU-01-MOUTH,Churchill River mouth/coast,53.360278,-60.170833,Churchill River — mouth/coast,River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: Existing station point is strong; river coast/outlet point should be checked if exact estuary marker is required.,Churchill River,Churchill Falls,"5,428 MW installed",Operating / harnessed,53.536111,-63.964167,"Churchill River at Churchill Falls Powerhouse, WSC 03OD005",Exact/named site,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Existing station point is strong; river coast/outlet point should be checked if exact estuary marker is required.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-02,Dam_or_site,Yes,CHU-02-SITE,Muskrat Falls,53.244167,-60.773333,Churchill River — Muskrat Falls — site,"Potential/actual hydro site point. Churchill River between Upper and Lower Muskrat Falls, WSC 03OE005. Status: Operating / harnessed. Capacity/potential: 824 MW installed. Note: Can switch to foot of Lower Muskrat Falls 53.249167,-60.768889 if preferred.",Churchill River,Muskrat Falls,824 MW installed,Operating / harnessed,53.244167,-60.773333,"Churchill River between Upper and Lower Muskrat Falls, WSC 03OE005",Exact/named site,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,"Can switch to foot of Lower Muskrat Falls 53.249167,-60.768889 if preferred.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-02,Mouth_or_coast,Yes,CHU-02-MOUTH,Churchill River mouth/coast,53.360278,-60.170833,Churchill River — mouth/coast,"River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: Can switch to foot of Lower Muskrat Falls 53.249167,-60.768889 if preferred.",Churchill River,Muskrat Falls,824 MW installed,Operating / harnessed,53.244167,-60.773333,"Churchill River between Upper and Lower Muskrat Falls, WSC 03OE005",Exact/named site,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,"Can switch to foot of Lower Muskrat Falls 53.249167,-60.768889 if preferred.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-03,Dam_or_site,Yes,CHU-03-SITE,Gull Island,52.9725,-61.4375,Churchill River — Gull Island — site,"Potential/actual hydro site point. Churchill River below Gull Island Rapids, WSC 03OE006. Status: Planned / under agreement. Capacity/potential: 2,250 MW planned; 2,264 MW older estimate. Note: WSC point is below Gull Island Rapids; use as the map point for the Gull Island project.",Churchill River,Gull Island,"2,250 MW planned; 2,264 MW older estimate",Planned / under agreement,52.9725,-61.4375,"Churchill River below Gull Island Rapids, WSC 03OE006",Exact/named site / strong proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,WSC point is below Gull Island Rapids; use as the map point for the Gull Island project.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
CHU-03,Mouth_or_coast,Yes,CHU-03-MOUTH,Churchill River mouth/coast,53.360278,-60.170833,Churchill River — mouth/coast,River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: WSC point is below Gull Island Rapids; use as the map point for the Gull Island project.,Churchill River,Gull Island,"2,250 MW planned; 2,264 MW older estimate",Planned / under agreement,52.9725,-61.4375,"Churchill River below Gull Island Rapids, WSC 03OE006",Exact/named site / strong proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,WSC point is below Gull Island Rapids; use as the map point for the Gull Island project.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
CHU-04,Dam_or_site,Yes,CHU-04-SITE,Churchill Falls new powerhouse,53.536111,-63.964167,Churchill River — Churchill Falls new powerhouse — site,"Potential/actual hydro site point. Churchill Falls powerhouse area, WSC 03OD005. Status: Planned / under agreement. Capacity/potential: +1,100 MW planned. Note: Mapped at existing powerhouse until precise new powerhouse siting is public.",Churchill River,Churchill Falls new powerhouse,"+1,100 MW planned",Planned / under agreement,53.536111,-63.964167,"Churchill Falls powerhouse area, WSC 03OD005",Exact/named site / expansion area proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Mapped at existing powerhouse until precise new powerhouse siting is public.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-04,Mouth_or_coast,Yes,CHU-04-MOUTH,Churchill River mouth/coast,53.360278,-60.170833,Churchill River — mouth/coast,River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: Mapped at existing powerhouse until precise new powerhouse siting is public.,Churchill River,Churchill Falls new powerhouse,"+1,100 MW planned",Planned / under agreement,53.536111,-63.964167,"Churchill Falls powerhouse area, WSC 03OD005",Exact/named site / expansion area proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Mapped at existing powerhouse until precise new powerhouse siting is public.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-05,Dam_or_site,Yes,CHU-05-SITE,Churchill Falls unit upgrades,53.536111,-63.964167,Churchill River — Churchill Falls unit upgrades — site,"Potential/actual hydro site point. Churchill Falls powerhouse area, WSC 03OD005. Status: Planned / under agreement. Capacity/potential: +550 MW planned. Note: Upgrades mapped at existing Churchill Falls powerhouse.",Churchill River,Churchill Falls unit upgrades,+550 MW planned,Planned / under agreement,53.536111,-63.964167,"Churchill Falls powerhouse area, WSC 03OD005",Exact/named site / upgrade area proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Upgrades mapped at existing Churchill Falls powerhouse.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
CHU-05,Mouth_or_coast,Yes,CHU-05-MOUTH,Churchill River mouth/coast,53.360278,-60.170833,Churchill River — mouth/coast,River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: Upgrades mapped at existing Churchill Falls powerhouse.,Churchill River,Churchill Falls unit upgrades,+550 MW planned,Planned / under agreement,53.536111,-63.964167,"Churchill Falls powerhouse area, WSC 03OD005",Exact/named site / upgrade area proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Upgrades mapped at existing Churchill Falls powerhouse.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
