schema_version,record_id,feature_id,display_name,alternate_names,feature_type,river_system,site_name,observation_type,mw_value,mw_min,mw_max,mw_unit,mw_kind,current_status,development_level,status_confidence,is_mappable,map_layer,latitude,longitude,location_hint,google_my_maps_description,source_name,source_year,source_url,source_detail,source_quality,data_confidence,notes,needs_review,status_checked_date
1.0,LAB-HYDRO-001,churchill-river,Churchill River,,river,Churchill River,Churchill Falls,operating_asset,5428,,,MW,installed_capacity,operating_harnessed,operating_asset,high,TRUE,operating_assets,,,"Churchill Falls, Labrador, Newfoundland and Labrador, Canada",Site: Churchill Falls | installed_capacity: 5428 MW | Status: operating_harnessed | Source: Newfoundland and Labrador Hydro generation assets (current) | Notes: River-level feature with an operating hydro site at Churchill Falls.,Newfoundland and Labrador Hydro generation assets,current,https://nlhydro.com/about-us/our-electricity-system/our-generation-assets/,Lists Churchill Falls as a Labrador hydro generation asset.,official/operator,high,River-level feature with an operating hydro site at Churchill Falls.,FALSE,2026-05-02
1.0,LAB-HYDRO-002,churchill-river,Churchill River,,river,Churchill River,Muskrat Falls,operating_asset,824,,,MW,installed_capacity,operating_harnessed,operating_asset,high,TRUE,operating_assets,,,"Muskrat Falls, Labrador, Newfoundland and Labrador, Canada",Site: Muskrat Falls | installed_capacity: 824 MW | Status: operating_harnessed | Source: Newfoundland and Labrador Hydro generation assets (current) | Notes: Lower Churchill operating hydro site.,Newfoundland and Labrador Hydro generation assets,current,https://nlhydro.com/about-us/our-electricity-system/our-generation-assets/,Lists Muskrat Falls as a Labrador hydro generation asset.,official/operator,high,Lower Churchill operating hydro site.,FALSE,2026-05-02
1.0,LAB-HYDRO-003,ashuanipi-menihek-system,Ashuanipi River / Menihek Lake system,,river_system,Ashuanipi River,Menihek,operating_asset,18,,,MW,installed_capacity,operating_harnessed,operating_asset,high,TRUE,operating_assets,,,"Menihek, Labrador, Newfoundland and Labrador, Canada","Site: Menihek | installed_capacity: 18 MW | Status: operating_harnessed | Source: Newfoundland and Labrador Hydro generation assets (current) | Notes: Menihek is a hydro site/lake-system label, not strictly a river name.",Newfoundland and Labrador Hydro generation assets,current,https://nlhydro.com/about-us/our-electricity-system/our-generation-assets/,Lists Menihek as a Labrador hydro generation asset.,official/operator,high,"Menihek is a hydro site/lake-system label, not strictly a river name.",FALSE,2026-05-02
1.0,LAB-HYDRO-004,churchill-river,Churchill River,,river,Churchill River,Gull Island,planned_project,2250,,,MW,planned_capacity,planned_under_agreement,planned_project,high,TRUE,planned_projects,,,"Gull Island, Churchill River, Labrador, Newfoundland and Labrador, Canada",Site: Gull Island | planned_capacity: 2250 MW | Status: planned_under_agreement | Source: Government of Newfoundland and Labrador NL-Quebec MOU release (2024) | Notes: Not operating; subject to definitive agreements and project approvals.,Government of Newfoundland and Labrador NL-Quebec MOU release,2024,https://www.gov.nl.ca/releases/2024/exec/1212n01/,"Official release identifies Gull Island as a planned 2,250 MW development under the NL-Quebec energy partnership.",official/government,high,Not operating; subject to definitive agreements and project approvals.,FALSE,2026-05-02
1.0,LAB-HYDRO-005,churchill-river,Churchill River,,river,Churchill River,Churchill Falls new powerhouse,planned_project,1100,,,MW,planned_added_capacity,planned_under_agreement,planned_project,high,TRUE,planned_projects,,,"Churchill Falls, Labrador, Newfoundland and Labrador, Canada",Site: Churchill Falls new powerhouse | planned_added_capacity: 1100 MW | Status: planned_under_agreement | Source: Government of Newfoundland and Labrador NL-Quebec MOU release (2024) | Notes: Planned additional capacity; not a separate river.,Government of Newfoundland and Labrador NL-Quebec MOU release,2024,https://www.gov.nl.ca/releases/2024/exec/1212n01/,"Official release identifies a new Churchill Falls powerhouse of about 1,100 MW.",official/government,high,Planned additional capacity; not a separate river.,FALSE,2026-05-02
1.0,LAB-HYDRO-006,churchill-river,Churchill River,,river,Churchill River,Churchill Falls unit upgrades,planned_project,550,,,MW,planned_added_capacity,planned_under_agreement,planned_project,high,TRUE,planned_projects,,,"Churchill Falls, Labrador, Newfoundland and Labrador, Canada",Site: Churchill Falls unit upgrades | planned_added_capacity: 550 MW | Status: planned_under_agreement | Source: Government of Newfoundland and Labrador NL-Quebec MOU release (2024) | Notes: Upgrade to an existing operating site.,Government of Newfoundland and Labrador NL-Quebec MOU release,2024,https://www.gov.nl.ca/releases/2024/exec/1212n01/,Official release identifies capacity increases of about 550 MW at Churchill Falls.,official/government,high,Upgrade to an existing operating site.,FALSE,2026-05-02
1.0,LAB-HYDRO-007,unknown-river,Unknown River,,river,Churchill River,Twin Falls,historical_operating_asset,225,,,MW,historical_installed_capacity,former_retired,retired_asset,medium,TRUE,retired_assets,,,"Twin Falls, Unknown River, Labrador, Newfoundland and Labrador, Canada",Site: Twin Falls | historical_installed_capacity: 225 MW | Status: former_retired | Source: Heritage Newfoundland and Labrador: Electrifying Labrador (current/web) | Notes: Former/non-operating hydro plant; include as a historical status feature.,Heritage Newfoundland and Labrador: Electrifying Labrador,current/web,https://www.heritage.nf.ca/articles/economy/electrifying-labrador.php,Describes Twin Falls hydro development in Labrador and its relationship to Churchill Falls development.,public/history,medium,Former/non-operating hydro plant; include as a historical status feature.,FALSE,2026-05-02
1.0,LAB-HYDRO-008,lower-churchill,Lower Churchill / Churchill River,,river,Lower Churchill / Churchill River,Lower Churchill,hydro_potential_observation,2400,,,MW,historical_potential_estimate,partially_harnessed,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Lower Churchill / Churchill River, Labrador, Newfoundland and Labrador, Canada",Site: Lower Churchill | historical_potential_estimate: 2400 MW | Status: partially_harnessed | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical lower Churchill potential; Muskrat Falls is operating and Gull Island is planned.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical lower Churchill potential; Muskrat Falls is operating and Gull Island is planned.,FALSE,2026-05-02
1.0,LAB-HYDRO-009,naskaupi-river,Naskaupi River,,river,Naskaupi River,Naskaupi,hydro_potential_observation,1933,,,MW,historical_potential_estimate,partially_harnessed,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Naskaupi River, Labrador, Newfoundland and Labrador, Canada",Site: Naskaupi | historical_potential_estimate: 1933 MW | Status: partially_harnessed | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential; water system was affected by Upper Churchill development/diversions; no separate operating Naskaupi station confirmed.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential; water system was affected by Upper Churchill development/diversions; no separate operating Naskaupi station confirmed.,FALSE,2026-05-02
1.0,LAB-HYDRO-010,eagle-river,Eagle River,,river,Eagle River,Eagle,hydro_potential_observation,983,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Eagle River, Labrador, Newfoundland and Labrador, Canada",Site: Eagle | historical_potential_estimate: 983 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only; no operating hydro station confirmed.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only; no operating hydro station confirmed.,FALSE,2026-05-02
1.0,LAB-HYDRO-011,kanairiktok-river,Caiairiktok / Kanairiktok River,,river,Caiairiktok / Kanairiktok River,Caiairiktok,hydro_potential_observation,817,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Caiairiktok / Kanairiktok River, Labrador, Newfoundland and Labrador, Canada",Site: Caiairiktok | historical_potential_estimate: 817 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Spelling varies; source table uses Caiairiktok. Needs toponym/GIS verification.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Spelling varies; source table uses Caiairiktok. Needs toponym/GIS verification.,TRUE,2026-05-02
1.0,LAB-HYDRO-012,kenamu-river,Kenamu River,,river,Kenamu River,Kenamu,hydro_potential_observation,313,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Kenamu River, Labrador, Newfoundland and Labrador, Canada",Site: Kenamu | historical_potential_estimate: 313 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
1.0,LAB-HYDRO-013,paradise-river-labrador,Paradise River,,river,Paradise River,Paradise,hydro_potential_observation,292,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Paradise River, Labrador, Newfoundland and Labrador, Canada",Site: Paradise | historical_potential_estimate: 292 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Labrador river; do not confuse with NL Hydro Paradise River station in Newfoundland.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Labrador river; do not confuse with NL Hydro Paradise River station in Newfoundland.,TRUE,2026-05-02
1.0,LAB-HYDRO-014,red-wine-river,Red Wine River,,river,Red Wine River,Red Wine,hydro_potential_observation,255,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Red Wine River, Labrador, Newfoundland and Labrador, Canada",Site: Red Wine | historical_potential_estimate: 255 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Corrected from earlier erroneous Red Vine wording.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Corrected from earlier erroneous Red Vine wording.,FALSE,2026-05-02
1.0,LAB-HYDRO-015,goose-river,Goose River,,river,Goose River,Goose,hydro_potential_observation,246,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Goose River, Labrador, Newfoundland and Labrador, Canada",Site: Goose | historical_potential_estimate: 246 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
1.0,LAB-HYDRO-016,fig-river,Fig River,,river,Fig River,Fig,hydro_potential_observation,233,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Fig River, Labrador, Newfoundland and Labrador, Canada",Site: Fig | historical_potential_estimate: 233 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
1.0,LAB-HYDRO-017,big-river,Big River,,river,Big River,Big,hydro_potential_observation,230,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Big River, Labrador, Newfoundland and Labrador, Canada",Site: Big | historical_potential_estimate: 230 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
1.0,LAB-HYDRO-018,minipi-river,Minipi River,,river,Minipi River,Minipi,hydro_potential_observation,216,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Minipi River, Labrador, Newfoundland and Labrador, Canada",Site: Minipi | historical_potential_estimate: 216 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
1.0,LAB-HYDRO-019,st-lewis-river,St. Lewis River,,river,St. Lewis River,St. Lewis,hydro_potential_observation,200,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"St. Lewis River, Labrador, Newfoundland and Labrador, Canada",Site: St. Lewis | historical_potential_estimate: 200 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential; also appears as small-hydro candidate in later coastal studies.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential; also appears as small-hydro candidate in later coastal studies.,FALSE,2026-05-02
1.0,LAB-HYDRO-020,metchin-river,Metchin River,,river,Metchin River,Metchin,hydro_potential_observation,180,,,MW,historical_potential_estimate,unexploited_identified,historical_estimate,medium,TRUE,historical_potential_rivers,,,"Metchin River, Labrador, Newfoundland and Labrador, Canada",Site: Metchin | historical_potential_estimate: 180 MW | Status: unexploited_identified | Source: Millan historical Labrador hydro-potential table (1974) | Notes: Historical potential only.,Millan historical Labrador hydro-potential table,1974,https://journals.lib.unb.ca/index.php/GC/article/download/2815/3333,Historical table of potential hydroelectric developments in Labrador.,public/academic_archive,medium,Historical potential only.,FALSE,2026-05-02
